Produkti,KohaDites,Shitjet,Data
Golden Eagle,Mengjes,16,1/1/2021
Golden Eagle,Mesdite,44,1/1/2021
Golden Eagle,Mbremje,32,1/1/2021
Birra Peja,Mengjes,42,1/1/2021
Birra Peja,Mesdite,50,1/1/2021
Birra Peja,Mbremje,34,1/1/2021
Lasko,Mengjes,21,1/1/2021
Lasko,Mesdite,14,1/1/2021
Lasko,Mbremje,43,1/1/2021
B52,Mengjes,8,1/1/2021
B52,Mesdite,9,1/1/2021
B52,Mbremje,3,1/1/2021
VIPA,Mengjes,6,1/1/2021
VIPA,Mesdite,41,1/1/2021
VIPA,Mbremje,38,1/1/2021
DR GERARD,Mengjes,19,1/1/2021
DR GERARD,Mesdite,3,1/1/2021
DR GERARD,Mbremje,20,1/1/2021
BRAVO,Mengjes,35,1/1/2021
BRAVO,Mesdite,25,1/1/2021
BRAVO,Mbremje,44,1/1/2021
JANA,Mengjes,1,1/1/2021
JANA,Mesdite,27,1/1/2021
JANA,Mbremje,45,1/1/2021
UJE RUGOVE,Mengjes,4,1/1/2021
UJE RUGOVE,Mesdite,8,1/1/2021
UJE RUGOVE,Mbremje,5,1/1/2021
UJE SPRING,Mengjes,7,1/1/2021
UJE SPRING,Mesdite,46,1/1/2021
UJE SPRING,Mbremje,38,1/1/2021
Golden Eagle,Mengjes,57,1/2/2021
Golden Eagle,Mesdite,124,1/2/2021
Golden Eagle,Mbremje,29,1/2/2021
Birra Peja,Mengjes,15,1/2/2021
Birra Peja,Mesdite,22,1/2/2021
Birra Peja,Mbremje,31,1/2/2021
Lasko,Mengjes,7,1/2/2021
Lasko,Mesdite,43,1/2/2021
Lasko,Mbremje,10,1/2/2021
B52,Mengjes,7,1/2/2021
B52,Mesdite,6,1/2/2021
B52,Mbremje,16,1/2/2021
VIPA,Mengjes,2,1/2/2021
VIPA,Mesdite,17,1/2/2021
VIPA,Mbremje,2,1/2/2021
DR GERARD,Mengjes,2,1/2/2021
DR GERARD,Mesdite,12,1/2/2021
DR GERARD,Mbremje,7,1/2/2021
BRAVO,Mengjes,5,1/2/2021
BRAVO,Mesdite,5,1/2/2021
BRAVO,Mbremje,35,1/2/2021
JANA,Mengjes,17,1/2/2021
JANA,Mesdite,28,1/2/2021
JANA,Mbremje,32,1/2/2021
UJE RUGOVE,Mengjes,44,1/2/2021
UJE RUGOVE,Mesdite,21,1/2/2021
UJE RUGOVE,Mbremje,47,1/2/2021
UJE SPRING,Mengjes,49,1/2/2021
UJE SPRING,Mesdite,12,1/2/2021
UJE SPRING,Mbremje,10,1/2/2021
Golden Eagle,Mengjes,36,1/3/2021
Golden Eagle,Mesdite,35,1/3/2021
Golden Eagle,Mbremje,30,1/3/2021
Birra Peja,Mengjes,17,1/3/2021
Birra Peja,Mesdite,5,1/3/2021
Birra Peja,Mbremje,8,1/3/2021
Lasko,Mengjes,12,1/3/2021
Lasko,Mesdite,14,1/3/2021
Lasko,Mbremje,18,1/3/2021
B52,Mengjes,31,1/3/2021
B52,Mesdite,9,1/3/2021
B52,Mbremje,16,1/3/2021
VIPA,Mengjes,34,1/3/2021
VIPA,Mesdite,44,1/3/2021
VIPA,Mbremje,48,1/3/2021
DR GERARD,Mengjes,19,1/3/2021
DR GERARD,Mesdite,6,1/3/2021
DR GERARD,Mbremje,43,1/3/2021
BRAVO,Mengjes,18,1/3/2021
BRAVO,Mesdite,50,1/3/2021
BRAVO,Mbremje,44,1/3/2021
JANA,Mengjes,41,1/3/2021
JANA,Mesdite,23,1/3/2021
JANA,Mbremje,16,1/3/2021
UJE RUGOVE,Mengjes,39,1/3/2021
UJE RUGOVE,Mesdite,6,1/3/2021
UJE RUGOVE,Mbremje,4,1/3/2021
UJE SPRING,Mengjes,41,1/3/2021
UJE SPRING,Mesdite,15,1/3/2021
UJE SPRING,Mbremje,26,1/3/2021
Golden Eagle,Mengjes,11,1/4/2021
Golden Eagle,Mesdite,36,1/4/2021
Golden Eagle,Mbremje,40,1/4/2021
Birra Peja,Mengjes,26,1/4/2021
Birra Peja,Mesdite,34,1/4/2021
Birra Peja,Mbremje,43,1/4/2021
Lasko,Mengjes,30,1/4/2021
Lasko,Mesdite,35,1/4/2021
Lasko,Mbremje,32,1/4/2021
B52,Mengjes,28,1/4/2021
B52,Mesdite,43,1/4/2021
B52,Mbremje,25,1/4/2021
VIPA,Mengjes,20,1/4/2021
VIPA,Mesdite,41,1/4/2021
VIPA,Mbremje,28,1/4/2021
DR GERARD,Mengjes,39,1/4/2021
DR GERARD,Mesdite,13,1/4/2021
DR GERARD,Mbremje,32,1/4/2021
BRAVO,Mengjes,48,1/4/2021
BRAVO,Mesdite,11,1/4/2021
BRAVO,Mbremje,33,1/4/2021
JANA,Mengjes,20,1/4/2021
JANA,Mesdite,14,1/4/2021
JANA,Mbremje,15,1/4/2021
UJE RUGOVE,Mengjes,13,1/4/2021
UJE RUGOVE,Mesdite,20,1/4/2021
UJE RUGOVE,Mbremje,39,1/4/2021
UJE SPRING,Mengjes,40,1/4/2021
UJE SPRING,Mesdite,29,1/4/2021
UJE SPRING,Mbremje,9,1/4/2021
Golden Eagle,Mengjes,20,1/5/2021
Golden Eagle,Mesdite,43,1/5/2021
Golden Eagle,Mbremje,46,1/5/2021
Birra Peja,Mengjes,47,1/5/2021
Birra Peja,Mesdite,48,1/5/2021
Birra Peja,Mbremje,49,1/5/2021
Lasko,Mengjes,10,1/5/2021
Lasko,Mesdite,17,1/5/2021
Lasko,Mbremje,47,1/5/2021
B52,Mengjes,8,1/5/2021
B52,Mesdite,26,1/5/2021
B52,Mbremje,13,1/5/2021
VIPA,Mengjes,12,1/5/2021
VIPA,Mesdite,37,1/5/2021
VIPA,Mbremje,46,1/5/2021
DR GERARD,Mengjes,4,1/5/2021
DR GERARD,Mesdite,7,1/5/2021
DR GERARD,Mbremje,44,1/5/2021
BRAVO,Mengjes,22,1/5/2021
BRAVO,Mesdite,23,1/5/2021
BRAVO,Mbremje,38,1/5/2021
JANA,Mengjes,16,1/5/2021
JANA,Mesdite,15,1/5/2021
JANA,Mbremje,29,1/5/2021
UJE RUGOVE,Mengjes,23,1/5/2021
UJE RUGOVE,Mesdite,35,1/5/2021
UJE RUGOVE,Mbremje,3,1/5/2021
UJE SPRING,Mengjes,13,1/5/2021
UJE SPRING,Mesdite,25,1/5/2021
UJE SPRING,Mbremje,39,1/5/2021
Golden Eagle,Mengjes,9,1/6/2021
Golden Eagle,Mesdite,2,1/6/2021
Golden Eagle,Mbremje,32,1/6/2021
Birra Peja,Mengjes,36,1/6/2021
Birra Peja,Mesdite,32,1/6/2021
Birra Peja,Mbremje,6,1/6/2021
Lasko,Mengjes,39,1/6/2021
Lasko,Mesdite,42,1/6/2021
Lasko,Mbremje,27,1/6/2021
B52,Mengjes,50,1/6/2021
B52,Mesdite,2,1/6/2021
B52,Mbremje,12,1/6/2021
VIPA,Mengjes,35,1/6/2021
VIPA,Mesdite,14,1/6/2021
VIPA,Mbremje,12,1/6/2021
DR GERARD,Mengjes,1,1/6/2021
DR GERARD,Mesdite,7,1/6/2021
DR GERARD,Mbremje,13,1/6/2021
BRAVO,Mengjes,22,1/6/2021
BRAVO,Mesdite,25,1/6/2021
BRAVO,Mbremje,15,1/6/2021
JANA,Mengjes,30,1/6/2021
JANA,Mesdite,4,1/6/2021
JANA,Mbremje,13,1/6/2021
UJE RUGOVE,Mengjes,45,1/6/2021
UJE RUGOVE,Mesdite,39,1/6/2021
UJE RUGOVE,Mbremje,32,1/6/2021
UJE SPRING,Mengjes,37,1/6/2021
UJE SPRING,Mesdite,6,1/6/2021
UJE SPRING,Mbremje,42,1/6/2021
Golden Eagle,Mengjes,16,1/7/2021
Golden Eagle,Mesdite,21,1/7/2021
Golden Eagle,Mbremje,45,1/7/2021
Birra Peja,Mengjes,36,1/7/2021
Birra Peja,Mesdite,4,1/7/2021
Birra Peja,Mbremje,16,1/7/2021
Lasko,Mengjes,35,1/7/2021
Lasko,Mesdite,44,1/7/2021
Lasko,Mbremje,17,1/7/2021
B52,Mengjes,20,1/7/2021
B52,Mesdite,1,1/7/2021
B52,Mbremje,5,1/7/2021
VIPA,Mengjes,47,1/7/2021
VIPA,Mesdite,1,1/7/2021
VIPA,Mbremje,42,1/7/2021
DR GERARD,Mengjes,26,1/7/2021
DR GERARD,Mesdite,3,1/7/2021
DR GERARD,Mbremje,49,1/7/2021
BRAVO,Mengjes,8,1/7/2021
BRAVO,Mesdite,18,1/7/2021
BRAVO,Mbremje,16,1/7/2021
JANA,Mengjes,12,1/7/2021
JANA,Mesdite,7,1/7/2021
JANA,Mbremje,5,1/7/2021
UJE RUGOVE,Mengjes,34,1/7/2021
UJE RUGOVE,Mesdite,37,1/7/2021
UJE RUGOVE,Mbremje,32,1/7/2021
UJE SPRING,Mengjes,1,1/7/2021
UJE SPRING,Mesdite,45,1/7/2021
UJE SPRING,Mbremje,9,1/7/2021
Golden Eagle,Mengjes,28,1/8/2021
Golden Eagle,Mesdite,5,1/8/2021
Golden Eagle,Mbremje,16,1/8/2021
Birra Peja,Mengjes,2,1/8/2021
Birra Peja,Mesdite,25,1/8/2021
Birra Peja,Mbremje,24,1/8/2021
Lasko,Mengjes,39,1/8/2021
Lasko,Mesdite,45,1/8/2021
Lasko,Mbremje,33,1/8/2021
B52,Mengjes,19,1/8/2021
B52,Mesdite,14,1/8/2021
B52,Mbremje,28,1/8/2021
VIPA,Mengjes,9,1/8/2021
VIPA,Mesdite,50,1/8/2021
VIPA,Mbremje,37,1/8/2021
DR GERARD,Mengjes,33,1/8/2021
DR GERARD,Mesdite,44,1/8/2021
DR GERARD,Mbremje,15,1/8/2021
BRAVO,Mengjes,50,1/8/2021
BRAVO,Mesdite,29,1/8/2021
BRAVO,Mbremje,15,1/8/2021
JANA,Mengjes,18,1/8/2021
JANA,Mesdite,13,1/8/2021
JANA,Mbremje,50,1/8/2021
UJE RUGOVE,Mengjes,46,1/8/2021
UJE RUGOVE,Mesdite,27,1/8/2021
UJE RUGOVE,Mbremje,11,1/8/2021
UJE SPRING,Mengjes,23,1/8/2021
UJE SPRING,Mesdite,16,1/8/2021
UJE SPRING,Mbremje,33,1/8/2021
Golden Eagle,Mengjes,45,1/9/2021
Golden Eagle,Mesdite,3,1/9/2021
Golden Eagle,Mbremje,34,1/9/2021
Birra Peja,Mengjes,33,1/9/2021
Birra Peja,Mesdite,17,1/9/2021
Birra Peja,Mbremje,45,1/9/2021
Lasko,Mengjes,20,1/9/2021
Lasko,Mesdite,16,1/9/2021
Lasko,Mbremje,23,1/9/2021
B52,Mengjes,12,1/9/2021
B52,Mesdite,45,1/9/2021
B52,Mbremje,29,1/9/2021
VIPA,Mengjes,29,1/9/2021
VIPA,Mesdite,20,1/9/2021
VIPA,Mbremje,32,1/9/2021
DR GERARD,Mengjes,23,1/9/2021
DR GERARD,Mesdite,45,1/9/2021
DR GERARD,Mbremje,22,1/9/2021
BRAVO,Mengjes,18,1/9/2021
BRAVO,Mesdite,40,1/9/2021
BRAVO,Mbremje,48,1/9/2021
JANA,Mengjes,8,1/9/2021
JANA,Mesdite,5,1/9/2021
JANA,Mbremje,27,1/9/2021
UJE RUGOVE,Mengjes,29,1/9/2021
UJE RUGOVE,Mesdite,36,1/9/2021
UJE RUGOVE,Mbremje,12,1/9/2021
UJE SPRING,Mengjes,7,1/9/2021
UJE SPRING,Mesdite,24,1/9/2021
UJE SPRING,Mbremje,4,1/9/2021
Golden Eagle,Mengjes,49,1/10/2021
Golden Eagle,Mesdite,31,1/10/2021
Golden Eagle,Mbremje,22,1/10/2021
Birra Peja,Mengjes,31,1/10/2021
Birra Peja,Mesdite,21,1/10/2021
Birra Peja,Mbremje,38,1/10/2021
Lasko,Mengjes,7,1/10/2021
Lasko,Mesdite,34,1/10/2021
Lasko,Mbremje,37,1/10/2021
B52,Mengjes,27,1/10/2021
B52,Mesdite,4,1/10/2021
B52,Mbremje,27,1/10/2021
VIPA,Mengjes,1,1/10/2021
VIPA,Mesdite,9,1/10/2021
VIPA,Mbremje,13,1/10/2021
DR GERARD,Mengjes,14,1/10/2021
DR GERARD,Mesdite,8,1/10/2021
DR GERARD,Mbremje,47,1/10/2021
BRAVO,Mengjes,37,1/10/2021
BRAVO,Mesdite,29,1/10/2021
BRAVO,Mbremje,32,1/10/2021
JANA,Mengjes,31,1/10/2021
JANA,Mesdite,18,1/10/2021
JANA,Mbremje,17,1/10/2021
UJE RUGOVE,Mengjes,38,1/10/2021
UJE RUGOVE,Mesdite,36,1/10/2021
UJE RUGOVE,Mbremje,22,1/10/2021
UJE SPRING,Mengjes,35,1/10/2021
UJE SPRING,Mesdite,38,1/10/2021
UJE SPRING,Mbremje,35,1/10/2021
Golden Eagle,Mengjes,1,1/11/2021
Golden Eagle,Mesdite,10,1/11/2021
Golden Eagle,Mbremje,18,1/11/2021
Birra Peja,Mengjes,8,1/11/2021
Birra Peja,Mesdite,42,1/11/2021
Birra Peja,Mbremje,19,1/11/2021
Lasko,Mengjes,2,1/11/2021
Lasko,Mesdite,18,1/11/2021
