Produkti,KohaDites,Shitjet,Data
Golden Eagle,Mengjes,44,2022-05-01
Golden Eagle,Mesdite,46,2022-05-01
Golden Eagle,Mbremje,29,2022-05-01
Birra Peja,Mengjes,9,2022-05-01
Birra Peja,Mesdite,8,2022-05-01
Birra Peja,Mbremje,5,2022-05-01
Lasko,Mengjes,23,2022-05-01
Lasko,Mesdite,28,2022-05-01
Lasko,Mbremje,47,2022-05-01
B52,Mengjes,38,2022-05-01
B52,Mesdite,2,2022-05-01
B52,Mbremje,27,2022-05-01
VIPA,Mengjes,19,2022-05-01
VIPA,Mesdite,49,2022-05-01
VIPA,Mbremje,20,2022-05-01
DR GERARD,Mengjes,28,2022-05-01
DR GERARD,Mesdite,10,2022-05-01
DR GERARD,Mbremje,38,2022-05-01
PATOS,Mengjes,19,2022-05-01
PATOS,Mesdite,9,2022-05-01
PATOS,Mbremje,14,2022-05-01
DORITOS,Mengjes,24,2022-05-01
DORITOS,Mesdite,37,2022-05-01
DORITOS,Mbremje,22,2022-05-01
JANA,Mengjes,1,2022-05-01
JANA,Mesdite,3,2022-05-01
JANA,Mbremje,19,2022-05-01
SKOPSKO,Mengjes,20,2022-05-01
SKOPSKO,Mesdite,50,2022-05-01
SKOPSKO,Mbremje,4,2022-05-01
Golden Eagle,Mengjes,41,2022-05-02
Golden Eagle,Mesdite,48,2022-05-02
Golden Eagle,Mbremje,4,2022-05-02
Birra Peja,Mengjes,7,2022-05-02
Birra Peja,Mesdite,46,2022-05-02
Birra Peja,Mbremje,14,2022-05-02
Lasko,Mengjes,48,2022-05-02
Lasko,Mesdite,1,2022-05-02
Lasko,Mbremje,29,2022-05-02
B52,Mengjes,46,2022-05-02
B52,Mesdite,8,2022-05-02
B52,Mbremje,23,2022-05-02
VIPA,Mengjes,16,2022-05-02
VIPA,Mesdite,37,2022-05-02
VIPA,Mbremje,20,2022-05-02
DR GERARD,Mengjes,22,2022-05-02
DR GERARD,Mesdite,33,2022-05-02
DR GERARD,Mbremje,23,2022-05-02
PATOS,Mengjes,7,2022-05-02
PATOS,Mesdite,41,2022-05-02
PATOS,Mbremje,20,2022-05-02
DORITOS,Mengjes,14,2022-05-02
DORITOS,Mesdite,46,2022-05-02
DORITOS,Mbremje,36,2022-05-02
JANA,Mengjes,32,2022-05-02
JANA,Mesdite,1,2022-05-02
JANA,Mbremje,44,2022-05-02
SKOPSKO,Mengjes,48,2022-05-02
SKOPSKO,Mesdite,45,2022-05-02
SKOPSKO,Mbremje,31,2022-05-02
Golden Eagle,Mengjes,18,2022-05-03
Golden Eagle,Mesdite,18,2022-05-03
Golden Eagle,Mbremje,4,2022-05-03
Birra Peja,Mengjes,17,2022-05-03
Birra Peja,Mesdite,16,2022-05-03
Birra Peja,Mbremje,22,2022-05-03
Lasko,Mengjes,37,2022-05-03
Lasko,Mesdite,19,2022-05-03
Lasko,Mbremje,17,2022-05-03
B52,Mengjes,15,2022-05-03
B52,Mesdite,47,2022-05-03
B52,Mbremje,32,2022-05-03
VIPA,Mengjes,5,2022-05-03
VIPA,Mesdite,45,2022-05-03
VIPA,Mbremje,49,2022-05-03
DR GERARD,Mengjes,3,2022-05-03
DR GERARD,Mesdite,16,2022-05-03
DR GERARD,Mbremje,33,2022-05-03
PATOS,Mengjes,3,2022-05-03
PATOS,Mesdite,20,2022-05-03
PATOS,Mbremje,12,2022-05-03
DORITOS,Mengjes,15,2022-05-03
DORITOS,Mesdite,49,2022-05-03
DORITOS,Mbremje,22,2022-05-03
JANA,Mengjes,3,2022-05-03
JANA,Mesdite,14,2022-05-03
JANA,Mbremje,2,2022-05-03
SKOPSKO,Mengjes,13,2022-05-03
SKOPSKO,Mesdite,48,2022-05-03
SKOPSKO,Mbremje,13,2022-05-03
Golden Eagle,Mengjes,40,2022-05-04
Golden Eagle,Mesdite,25,2022-05-04
Golden Eagle,Mbremje,7,2022-05-04
Birra Peja,Mengjes,23,2022-05-04
Birra Peja,Mesdite,49,2022-05-04
Birra Peja,Mbremje,26,2022-05-04
Lasko,Mengjes,25,2022-05-04
Lasko,Mesdite,45,2022-05-04
Lasko,Mbremje,33,2022-05-04
B52,Mengjes,22,2022-05-04
B52,Mesdite,20,2022-05-04
