Produkti,KohaDites,Shitjet,Data
Golden Eagle,Mengjes,46,51:06.8
Golden Eagle,Mesdite,22,51:06.8
Golden Eagle,Mbremje,19,51:06.8
Birra Peja,Mengjes,44,51:06.8
Birra Peja,Mesdite,5,51:06.8
Birra Peja,Mbremje,35,51:06.8
Lasko,Mengjes,25,51:06.8
Lasko,Mesdite,12,51:06.8
Lasko,Mbremje,1,51:06.8
B52,Mengjes,6,51:06.8
B52,Mesdite,34,51:06.8
B52,Mbremje,1,51:06.8
VIPA,Mengjes,14,51:06.8
VIPA,Mesdite,32,51:06.8
VIPA,Mbremje,6,51:06.8
DR GERARD,Mengjes,2,51:06.8
DR GERARD,Mesdite,18,51:06.8
DR GERARD,Mbremje,15,51:06.8
PATOS,Mengjes,30,51:06.8
PATOS,Mesdite,16,51:06.8
PATOS,Mbremje,23,51:06.8
DORITOS,Mengjes,29,51:06.8
DORITOS,Mesdite,20,51:06.8
DORITOS,Mbremje,47,51:06.8
JANA,Mengjes,7,51:06.8
JANA,Mesdite,4,51:06.8
JANA,Mbremje,19,51:06.8
SKOPSKO,Mengjes,5,51:06.8
SKOPSKO,Mesdite,46,51:06.8
SKOPSKO,Mbremje,31,51:06.8
Golden Eagle,Mengjes,42,51:06.8
Golden Eagle,Mesdite,41,51:06.8
Golden Eagle,Mbremje,26,51:06.8
Birra Peja,Mengjes,34,51:06.8
Birra Peja,Mesdite,28,51:06.8
Birra Peja,Mbremje,32,51:06.8
Lasko,Mengjes,15,51:06.8
Lasko,Mesdite,29,51:06.8
Lasko,Mbremje,39,51:06.8
B52,Mengjes,31,51:06.8
B52,Mesdite,37,51:06.8
B52,Mbremje,40,51:06.8
VIPA,Mengjes,26,51:06.8
VIPA,Mesdite,49,51:06.8
VIPA,Mbremje,1,51:06.8
DR GERARD,Mengjes,14,51:06.8
DR GERARD,Mesdite,41,51:06.8
DR GERARD,Mbremje,38,51:06.8
PATOS,Mengjes,28,51:06.8
PATOS,Mesdite,16,51:06.8
PATOS,Mbremje,31,51:06.8
DORITOS,Mengjes,32,51:06.8
DORITOS,Mesdite,17,51:06.8
DORITOS,Mbremje,19,51:06.8
JANA,Mengjes,4,51:06.8
JANA,Mesdite,35,51:06.8
JANA,Mbremje,27,51:06.8
SKOPSKO,Mengjes,12,51:06.8
SKOPSKO,Mesdite,3,51:06.8
SKOPSKO,Mbremje,6,51:06.8
Golden Eagle,Mengjes,46,51:06.8
Golden Eagle,Mesdite,29,51:06.8
Golden Eagle,Mbremje,43,51:06.8
Birra Peja,Mengjes,49,51:06.8
Birra Peja,Mesdite,26,51:06.8
Birra Peja,Mbremje,14,51:06.8
Lasko,Mengjes,24,51:06.8
Lasko,Mesdite,3,51:06.8
Lasko,Mbremje,2,51:06.8
B52,Mengjes,35,51:06.8
B52,Mesdite,36,51:06.8
B52,Mbremje,41,51:06.8
VIPA,Mengjes,14,51:06.8
VIPA,Mesdite,13,51:06.8
VIPA,Mbremje,47,51:06.8
DR GERARD,Mengjes,47,51:06.8
DR GERARD,Mesdite,48,51:06.8
DR GERARD,Mbremje,26,51:06.8
PATOS,Mengjes,10,51:06.8
PATOS,Mesdite,4,51:06.8
PATOS,Mbremje,48,51:06.8
DORITOS,Mengjes,36,51:06.8
DORITOS,Mesdite,36,51:06.8
DORITOS,Mbremje,12,51:06.8
JANA,Mengjes,13,51:06.8
JANA,Mesdite,41,51:06.8
JANA,Mbremje,41,51:06.8
SKOPSKO,Mengjes,2,51:06.8
SKOPSKO,Mesdite,40,51:06.8
SKOPSKO,Mbremje,33,51:06.8
Golden Eagle,Mengjes,4,51:06.8
Golden Eagle,Mesdite,42,51:06.8
Golden Eagle,Mbremje,8,51:06.8
Birra Peja,Mengjes,5,51:06.8
Birra Peja,Mesdite,48,51:06.8
Birra Peja,Mbremje,41,51:06.8
Lasko,Mengjes,46,51:06.8
Lasko,Mesdite,10,51:06.8
Lasko,Mbremje,21,51:06.8
B52,Mengjes,35,51:06.8
B52,Mesdite,45,51:06.8
B52,Mbremje,16,51:06.8
VIPA,Mengjes,4,51:06.8
VIPA,Mesdite,24,51:06.8
VIPA,Mbremje,43,51:06.8
DR GERARD,Mengjes,30,51:06.8
DR GERARD,Mesdite,32,51:06.8
DR GERARD,Mbremje,33,51:06.8
PATOS,Mengjes,50,51:06.8
PATOS,Mesdite,45,51:06.8
PATOS,Mbremje,42,51:06.8
DORITOS,Mengjes,19,51:06.8
DORITOS,Mesdite,16,51:06.8
DORITOS,Mbremje,25,51:06.8
JANA,Mengjes,19,51:06.8
JANA,Mesdite,32,51:06.8
JANA,Mbremje,21,51:06.8
SKOPSKO,Mengjes,48,51:06.8
SKOPSKO,Mesdite,30,51:06.8
SKOPSKO,Mbremje,30,51:06.8
Golden Eagle,Mengjes,18,51:06.8
Golden Eagle,Mesdite,35,51:06.8
Golden Eagle,Mbremje,30,51:06.8
Birra Peja,Mengjes,20,51:06.8
Birra Peja,Mesdite,26,51:06.8
Birra Peja,Mbremje,3,51:06.8
Lasko,Mengjes,40,51:06.8
Lasko,Mesdite,40,51:06.8
Lasko,Mbremje,42,51:06.8
B52,Mengjes,35,51:06.8
B52,Mesdite,17,51:06.8
B52,Mbremje,12,51:06.8
VIPA,Mengjes,20,51:06.8
VIPA,Mesdite,14,51:06.8
VIPA,Mbremje,8,51:06.8
DR GERARD,Mengjes,19,51:06.8
DR GERARD,Mesdite,27,51:06.8
DR GERARD,Mbremje,33,51:06.8
PATOS,Mengjes,15,51:06.8
PATOS,Mesdite,2,51:06.8
PATOS,Mbremje,13,51:06.8
DORITOS,Mengjes,11,51:06.8
DORITOS,Mesdite,22,51:06.8
DORITOS,Mbremje,35,51:06.8
JANA,Mengjes,15,51:06.8
JANA,Mesdite,11,51:06.8
JANA,Mbremje,31,51:06.8
SKOPSKO,Mengjes,43,51:06.8
SKOPSKO,Mesdite,34,51:06.8
SKOPSKO,Mbremje,37,51:06.8
Golden Eagle,Mengjes,44,51:06.8
Golden Eagle,Mesdite,23,51:06.8
Golden Eagle,Mbremje,7,51:06.8
Birra Peja,Mengjes,36,51:06.8
Birra Peja,Mesdite,11,51:06.8
Birra Peja,Mbremje,34,51:06.8
Lasko,Mengjes,50,51:06.8
Lasko,Mesdite,46,51:06.8
Lasko,Mbremje,44,51:06.8
B52,Mengjes,35,51:06.8
B52,Mesdite,22,51:06.8
B52,Mbremje,18,51:06.8
VIPA,Mengjes,9,51:06.8
VIPA,Mesdite,21,51:06.8
VIPA,Mbremje,46,51:06.8
DR GERARD,Mengjes,25,51:06.8
DR GERARD,Mesdite,28,51:06.8
DR GERARD,Mbremje,2,51:06.8
