Produkti,KohaDites,Shitjet,Data
Golden Eagle,Mengjes,43,5/1/2022
Golden Eagle,Mesdite,4,5/1/2022
Golden Eagle,Mbremje,29,5/1/2022
Birra Peja,Mengjes,9,5/1/2022
Birra Peja,Mesdite,27,5/1/2022
Birra Peja,Mbremje,3,5/1/2022
Lasko,Mengjes,47,5/1/2022
Lasko,Mesdite,28,5/1/2022
Lasko,Mbremje,40,5/1/2022
B52,Mengjes,27,5/1/2022
B52,Mesdite,9,5/1/2022
B52,Mbremje,32,5/1/2022
VIPA,Mengjes,36,5/1/2022
VIPA,Mesdite,15,5/1/2022
VIPA,Mbremje,4,5/1/2022
DR GERARD,Mengjes,39,5/1/2022
DR GERARD,Mesdite,30,5/1/2022
DR GERARD,Mbremje,16,5/1/2022
PATOS,Mengjes,44,5/1/2022
PATOS,Mesdite,8,5/1/2022
PATOS,Mbremje,46,5/1/2022
DORITOS,Mengjes,30,5/1/2022
DORITOS,Mesdite,9,5/1/2022
DORITOS,Mbremje,50,5/1/2022
JANA,Mengjes,36,5/1/2022
JANA,Mesdite,18,5/1/2022
JANA,Mbremje,2,5/1/2022
SKOPSKO,Mengjes,36,5/1/2022
SKOPSKO,Mesdite,34,5/1/2022
SKOPSKO,Mbremje,40,5/1/2022
Golden Eagle,Mengjes,18,5/2/2022
Golden Eagle,Mesdite,23,5/2/2022
Golden Eagle,Mbremje,27,5/2/2022
Birra Peja,Mengjes,22,5/2/2022
Birra Peja,Mesdite,2,5/2/2022
Birra Peja,Mbremje,13,5/2/2022
Lasko,Mengjes,3,5/2/2022
Lasko,Mesdite,50,5/2/2022
Lasko,Mbremje,36,5/2/2022
B52,Mengjes,39,5/2/2022
B52,Mesdite,15,5/2/2022
B52,Mbremje,18,5/2/2022
VIPA,Mengjes,5,5/2/2022
VIPA,Mesdite,12,5/2/2022
VIPA,Mbremje,48,5/2/2022
DR GERARD,Mengjes,19,5/2/2022
DR GERARD,Mesdite,14,5/2/2022
DR GERARD,Mbremje,3,5/2/2022
PATOS,Mengjes,32,5/2/2022
PATOS,Mesdite,22,5/2/2022
PATOS,Mbremje,27,5/2/2022
DORITOS,Mengjes,32,5/2/2022
DORITOS,Mesdite,41,5/2/2022
DORITOS,Mbremje,18,5/2/2022
JANA,Mengjes,14,5/2/2022
JANA,Mesdite,41,5/2/2022
JANA,Mbremje,35,5/2/2022
SKOPSKO,Mengjes,32,5/2/2022
SKOPSKO,Mesdite,39,5/2/2022
SKOPSKO,Mbremje,37,5/2/2022
Golden Eagle,Mengjes,21,5/3/2022
Golden Eagle,Mesdite,44,5/3/2022
Golden Eagle,Mbremje,36,5/3/2022
Birra Peja,Mengjes,45,5/3/2022
Birra Peja,Mesdite,7,5/3/2022
Birra Peja,Mbremje,17,5/3/2022
Lasko,Mengjes,3,5/3/2022
Lasko,Mesdite,9,5/3/2022
Lasko,Mbremje,26,5/3/2022
B52,Mengjes,33,5/3/2022
B52,Mesdite,3,5/3/2022
B52,Mbremje,5,5/3/2022
VIPA,Mengjes,45,5/3/2022
VIPA,Mesdite,35,5/3/2022
VIPA,Mbremje,12,5/3/2022
DR GERARD,Mengjes,49,5/3/2022
DR GERARD,Mesdite,13,5/3/2022
DR GERARD,Mbremje,41,5/3/2022
PATOS,Mengjes,42,5/3/2022
PATOS,Mesdite,23,5/3/2022
PATOS,Mbremje,28,5/3/2022
DORITOS,Mengjes,30,5/3/2022
DORITOS,Mesdite,44,5/3/2022
DORITOS,Mbremje,3,5/3/2022
JANA,Mengjes,49,5/3/2022
JANA,Mesdite,37,5/3/2022
JANA,Mbremje,45,5/3/2022
SKOPSKO,Mengjes,8,5/3/2022
SKOPSKO,Mesdite,27,5/3/2022
SKOPSKO,Mbremje,26,5/3/2022
Golden Eagle,Mengjes,47,5/4/2022
Golden Eagle,Mesdite,27,5/4/2022
Golden Eagle,Mbremje,4,5/4/2022
Birra Peja,Mengjes,50,5/4/2022
Birra Peja,Mesdite,4,5/4/2022
Birra Peja,Mbremje,46,5/4/2022
Lasko,Mengjes,40,5/4/2022
Lasko,Mesdite,31,5/4/2022
Lasko,Mbremje,46,5/4/2022
B52,Mengjes,33,5/4/2022
B52,Mesdite,14,5/4/2022
B52,Mbremje,4,5/4/2022
VIPA,Mengjes,34,5/4/2022
VIPA,Mesdite,50,5/4/2022
VIPA,Mbremje,46,5/4/2022
DR GERARD,Mengjes,25,5/4/2022
DR GERARD,Mesdite,15,5/4/2022
